session_id,file,lenT,lenC,hashT,hashC
001_A,001_A.parquet,2700,2700,dd77caaed5ff45f812923577935f9ebd,b3361e1eb1f95255c0d7904d86b2ab9c
001_B,001_B.parquet,2700,2700,cc77342e4b57cb9c69f64545f42eba8a,484c94a3c5d51e4b3b995f14d28c2c1c
002_A,002_A.parquet,2700,2700,62acad3c5f4e17093bb352b093c1e733,74b27d2a766e186777a03d796178cafb
002_B,002_B.parquet,2700,2700,d6a1675f398f8486db02f8cd7fd017f5,b5394b4592f6b626ce6baaf17c5af0b4
004_A,004_A.parquet,1686,1686,44b569a3157d1a8ee255635516ff1a3b,77dec71625059cd283bb2a98a7bcbe00
004_B,004_B.parquet,2700,2700,4be02dc1d505933e2f40f004ae637eb7,365cd49ce2d9c2b3e13d668c7ad66083
005_A,005_A.parquet,1800,1800,b287507d11f24c22d548a6083da3d46f,a016f2ccdb53457a431e6f4dbf779169
007_A,007_A.parquet,2700,2700,b5f4a77b41d293309cc6396b64f110ff,3a601d72b0594ca7ce4f01f749fc8457
007_B,007_B.parquet,2154,2154,8dee3fd40076d06fe1d8bb3efd0dad0b,85024b09a5e2caacb3b6f568fc979a9f
009_A,009_A.parquet,2700,2700,fa5c6c3dfda1ff63cd9e7e1a646f066c,1ec0654ffd0bf520ae03db7f1dbd0cc6
009_B,009_B.parquet,2832,2832,2982d094d9a2b8ae56d4b1cddc194bc4,63d1079492b89f89fb28a0c79fed8faa
016_A,016_A.parquet,2700,2700,06d8c8d7c3a4a5e2451a1f878a0e246d,ff00ef9006e439f7e821b61f25701cbd
018_A,018_A.parquet,2700,2700,02ec6eca862524f0644794293dd134cb,41d31a3a244b367911aceb74cb8bed05
019_A,019_A.parquet,2700,2700,601cf212fde758f4457b5aa15c2f7f0a,970503fd9d529c2d080ef9406976cc2b
019_B,019_B.parquet,2700,2700,605d6e8a835503d956554ec8d3fb00f1,48843cbd5d7a8f39e58c9b519091a0ad
021_A,021_A.parquet,2376,2376,5baeb2d00093b6cb455f428fc0300f05,79902344a4d6ee8ece64585b3830cdba
021_B,021_B.parquet,2970,2970,ccf05b22f2937c5d919f02eeb0d9ab3a,ec183b9f38f2cbf72a887e067919d492
022_A,022_A.parquet,2700,2700,d69b9e5f3354fa370bf3bf1777948ddb,f2e3cf638e31437c53719b363406a86e
022_B,022_B.parquet,2700,2700,42447eefa1b42a10f0059aae40ecf732,79355f21d81344655cb9e08c7e78bc76
024_A,024_A.parquet,2700,2700,d48a436e7a15dd3ec82ccae8ec4ef8cb,f74a2528dcdb13fbec83e209eee24c9b
024_B,024_B.parquet,1980,1980,943001dfec465e7c49c600bef2943f29,b57735ab413a07965bc874fc2d8d3a03
025_A,025_A.parquet,2700,2700,f82b6b3d9bbf72a3f4ed8b715641759f,e374e6105dce8420769c0ab75475feaf
026_A,026_A.parquet,2700,2700,8df60e25aba07c7e9bb3f2a610277e94,3862bf13d3afab7a18f040d4f439e2b1
026_B,026_B.parquet,1800,1800,0b44d686d18938e98242d0a20200148f,2805b18500d97537c5503d0269a9516e
031_A,031_A.parquet,2700,2700,4a483b7954eac8b5f728823cb405c3ff,3a94e343646154f8968ad1830020c3f3
032_A,032_A.parquet,2700,2700,c1c160e80f9a69f91b8e6689b141ebf6,51d87a4fbf26e07bc5e5b864c5ec7e01
034_A,034_A.parquet,3120,3120,ea477efa8d7fcbd0c18f82f5635732ce,23ddf2f1c4d1dc71fc687aab1c3a8c36
037_A,037_A.parquet,2700,2700,cf5e5c057032da4ea3e538e08bcb3dca,b311d24498eb3e45e9b86f62c0da6950
039_A,039_A.parquet,2700,2700,935b8cfdd5cc45453ed16249e612810c,39e64f260e5da3ddf8c6b22a2708e7b7
039_B,039_B.parquet,2700,2700,019f1c1506e16e7be257ae6502bb0792,7fbc0d7ae4a4bfa76a1abea492d59fe6
